year,month,mean_temp,mean_rain
1950,1,5.2,25.8
1950,2,4.9,129.2
1950,3,7.8,45.4
1950,4,6.9,82.6
1950,5,11,25.1
1950,6,14.4,39
1950,7,14.5,126.8
1950,8,13.9,157
1950,9,11.2,140.2
1950,10,9.1,81.9
1950,11,4.6,65.2
1950,12,1.2,74.7
1951,1,3.6,84.8
1951,2,3,62.1
1951,3,4.3,101.2
1951,4,6,52.6
1951,5,9,46.9
1951,6,12.9,59.9
1951,7,14.9,73.2
1951,8,13.4,121.2
1951,9,12.8,96.8
1951,10,10.2,39.9
1951,11,6.9,107.2
1951,12,5,154.7
1952,1,2.1,113.8
1952,2,4.1,21.6
1952,3,6.8,41.9
1952,4,8.9,45
1952,5,12,67.9
1952,6,12.8,52.1
1952,7,15.2,36.3
1952,8,14.7,64
1952,9,10.3,64.4
1952,10,8.9,117.8
1952,11,4.8,83
1952,12,3.8,79.1
1953,1,4.5,47.2
1953,2,5.6,40.9
1953,3,5.8,10.6
1953,4,6.5,47.4
1953,5,12.2,34.7
1953,6,13.6,28.2
1953,7,14.2,131.3
1953,8,14.6,99.1
1953,9,13.4,83.9
1953,10,9.3,73.1
1953,11,7.6,104.1
1953,12,6.7,68.5
1954,1,4,51.9
1954,2,3.8,96.6
1954,3,6,80.3
1954,4,8,31.8
1954,5,10.6,95.6
1954,6,12.1,54.9
1954,7,13,96.6
1954,8,13.2,74.1
1954,9,11,109.2
1954,10,10.7,171
1954,11,5.6,129
1954,12,6.6,122.1
1955,1,2.9,99.8
1955,2,1.7,56.8
1955,3,4.2,43.6
1955,4,9.5,61.7
1955,5,9.3,102
1955,6,12.7,96.1
1955,7,16.4,24.6
1955,8,17,27.6
1955,9,13.4,85.4
1955,10,8.4,44.4
1955,11,7.5,53.3
1955,12,5.6,117.4
1956,1,3.2,88.9
1956,2,1.9,28
1956,3,6.9,56.6
1956,4,7.7,27.2
1956,5,10.9,34
1956,6,12.4,65.6
1956,7,14.4,86.1
1956,8,12.5,162.6
1956,9,12.9,99.8
1956,10,9.3,62.3
1956,11,6.6,43.7
1956,12,6.1,134.6
1957,1,5.1,127.3
1957,2,4.5,59.5
1957,3,9.2,100.2
1957,4,8.3,37.7
1957,5,10.7,48.6
1957,6,13.7,40.6
1957,7,14.9,80
1957,8,14.2,73.4
1957,9,11.8,109.7
1957,10,9.7,139.5
1957,11,6.2,22.2
1957,12,4.9,72.5
1958,1,4.1,109.4
1958,2,5,82
1958,3,4.1,34.1
1958,4,7.7,25.7
1958,5,9.9,86.6
1958,6,12.9,131.9
1958,7,14.6,132.9
1958,8,14.5,127.1
1958,9,14,104.4
1958,10,10.2,74.2
1958,11,7.6,48.5
1958,12,4.3,99.7
1959,1,2.2,60
1959,2,5.8,29.3
1959,3,7,66.7
1959,4,8.2,69.3
1959,5,12.1,20.4
1959,6,14.1,66.5
1959,7,15.4,66.4
1959,8,15.6,19.3
1959,9,14,55.6
1959,10,11.3,143.6
1959,11,6.1,97.2
1959,12,5.2,177.4
1960,1,3.9,96.5
1960,2,3.6,53.2
1960,3,6.5,49.3
1960,4,8.9,72.6
1960,5,12.3,69.4
1960,6,14.9,92.1
1960,7,14.2,157.5
1960,8,14.1,95.6
1960,9,11.8,102.8
1960,10,9.4,103.1
1960,11,6.2,161.8
1960,12,3,102.9
1961,1,3.4,132.5
1961,2,7.3,75.8
1961,3,8.6,13.3
1961,4,9.2,109.8
1961,5,10.8,55.3
1961,6,12.9,56.9
1961,7,13.6,82.5
1961,8,13.9,74.1
1961,9,12.9,115.7
1961,10,9.1,73.5
1961,11,6,58.9
1961,12,2.5,66.1
1962,1,4.2,98.1
1962,2,4.8,63.7
1962,3,3.4,58.9
1962,4,7.7,58.7
1962,5,10,84.2
1962,6,12.3,40.6
1962,7,13.6,55.9
1962,8,13.2,106.2
1962,9,11,177.3
1962,10,10.1,38.8
1962,11,5.6,73.5
1962,12,4.1,112.3
1963,1,-0.7,27.5
1963,2,1.4,33.2
1963,3,6.4,106.1
1963,4,7.8,64
1963,5,9.2,64.8
1963,6,13.5,56.4
1963,7,14,73.5
1963,8,13.5,90.5
1963,9,11.6,67.7
1963,10,10.3,111
1963,11,6.5,137.1
1963,12,3.6,22.9
1964,1,5.1,46.2
1964,2,4.6,46.3
1964,3,5.4,88.7
1964,4,8.1,60.9
1964,5,11.9,76.5
1964,6,12.5,76.7
1964,7,14.7,51.6
1964,8,14,101.5
1964,9,13,56.3
1964,10,8.6,122.2
1964,11,7.1,56.8
1964,12,3.9,162.6
1965,1,2.7,153.7
1965,2,3.3,10.1
1965,3,5.6,87.2
1965,4,7.8,77.8
1965,5,10.7,98.8
1965,6,13.5,85.6
1965,7,12.9,96.7
1965,8,13.8,81.6
1965,9,10.9,63.7
1965,10,10.6,66.2
1965,11,4,205.1
1965,12,4.3,140.5
1966,1,4.1,74.7
1966,2,5.9,114.4
1966,3,6.7,53.4
1966,4,6.7,117
1966,5,10.5,88.2
1966,6,14.2,102.6
1966,7,14,54.4
1966,8,14.1,58.4
1966,9,13.7,79.7
1966,10,8.6,125.4
1966,11,4.6,48.8
1966,12,5.3,134.4
1967,1,4.7,61
1967,2,4.8,94.4
1967,3,6.1,49.2
1967,4,8.3,39
1967,5,8.7,147.1
1967,6,13.1,28.6
1967,7,14.9,113.2
1967,8,14,84.7
1967,9,12.5,112.9
1967,10,8.8,157.1
1967,11,5.8,67.7
1967,12,4.7,68.4
1968,1,5.1,135.6
1968,2,2.4,17.4
1968,3,5.8,71.6
1968,4,7.3,69.5
1968,5,9.2,57
1968,6,13.9,73.4
1968,7,14.3,22.2
1968,8,14.9,88.5
1968,9,12.9,119
1968,10,11.7,91.5
1968,11,6.6,112.1
1968,12,4.2,117.2
1969,1,4.8,133.3
1969,2,1.2,48.1
1969,3,4.3,33.8
1969,4,7.7,75
1969,5,10.3,90.4
1969,6,13.2,58
1969,7,15.5,45.8
1969,8,14.8,32.6
1969,9,12.8,29.2
1969,10,12.4,34.6
1969,11,4.2,75.4
1969,12,4.2,91.5
1970,1,3.8,83
1970,2,3.2,105.1
1970,3,4.8,47
1970,4,6.7,87.3
1970,5,12.4,30.8
1970,6,15.4,67.7
1970,7,14.2,71.6
1970,8,15.1,72.9
1970,9,13.2,101.4
1970,10,10.2,106.6
1970,11,6.5,134.2
1970,12,4.2,45.6
1971,1,4.9,61.4
1971,2,5.4,50.8
1971,3,5.5,42.4
1971,4,7.8,41.7
1971,5,10.3,43.1
1971,6,12.2,82.4
1971,7,15.7,24.3
1971,8,14.4,79.2
1971,9,14.3,43.3
1971,10,11.4,46.8
1971,11,6.4,83.3
1971,12,6.5,48.4
1972,1,3.4,102.9
1972,2,4.8,64.6
1972,3,5.6,67.7
1972,4,8,93.8
1972,5,9.6,112
1972,6,11,66.4
1972,7,15.1,66.1
1972,8,13.5,36.8
1972,9,11.9,8.6
1972,10,10.4,53.2
1972,11,5.4,109.5
1972,12,5.9,88.4
1973,1,5.4,66.6
1973,2,4.8,43.7
1973,3,6.3,29
1973,4,7,48.8
1973,5,10.6,80.9
1973,6,14,23
1973,7,14.8,86.4
1973,8,15.1,98.5
1973,9,13,103.2
1973,10,9.3,51.3
1973,11,6.3,98.6
1973,12,4.6,67.9
1974,1,5.7,135.1
1974,2,4.9,61.9
1974,3,5.2,29.5
1974,4,8.2,39.7
1974,5,9.5,72
1974,6,12.1,39.8
1974,7,13.2,114
1974,8,13.3,80.5
1974,9,10.3,129.6
1974,10,7.5,53.9
1974,11,5,94.3
1974,12,7.5,85.9
1975,1,5.8,154.2
1975,2,5.5,31.7
1975,3,4.8,29.8
1975,4,7.9,53.2
1975,5,9.4,32
1975,6,13.4,18.9
1975,7,15.6,55.2
1975,8,15.5,34.4
1975,9,11,122.9
1975,10,10.1,81.6
1975,11,6.2,73.9
1975,12,5.3,50.5
1976,1,5.7,89.6
1976,2,4.9,52.9
1976,3,5.5,71.4
1976,4,7.7,27.5
1976,5,9.8,122
1976,6,14.6,35.6
1976,7,15.7,47.9
1976,8,16.1,7.7
1976,9,12.3,107.3
1976,10,8.4,139.2
1976,11,5.2,65.5
1976,12,2.1,52.7
1977,1,2.3,75.4
1977,2,4.7,137.3
1977,3,6.7,94.1
1977,4,6.7,93.2
1977,5,9.7,18.1
1977,6,11.7,83.9
1977,7,15,41.2
1977,8,13.6,76
1977,9,11.3,60.9
1977,10,10.8,91.9
1977,11,4.6,107.9
1977,12,6.3,76.2
1978,1,3.3,96.2
1978,2,3.3,71.6
1978,3,5.9,116
1978,4,6.4,37.8
1978,5,10.8,11.8
1978,6,12.1,57.9
1978,7,13.7,79.2
1978,8,13.5,60
1978,9,12.9,87.8
1978,10,11.4,41.9
1978,11,7.8,98.4
1978,12,4.3,158.6
1979,1,0.9,57
1979,2,2.3,44.8
1979,3,4.1,85.9
1979,4,6.9,62
1979,5,8.4,108.8
1979,6,12.9,31.9
1979,7,14.7,44.9
1979,8,13.1,114.6
1979,9,11.6,66.6
1979,10,10.1,105.7
1979,11,6.8,109.9
1979,12,4.4,143.6
1980,1,2.9,72.4
1980,2,5.3,93
1980,3,4.6,85.6
1980,4,8.2,28.4
1980,5,10.4,31.7
1980,6,12.4,104.3
1980,7,13.5,56.9
1980,8,14.6,99.1
1980,9,13.2,119.7
1980,10,8.3,124.9
1980,11,6.5,84.5
1980,12,5.8,107.1
1981,1,5.7,65.8
1981,2,4,61.8
1981,3,7.4,105.5
1981,4,8.1,32.5
1981,5,10.1,136.2
1981,6,12.3,109.6
1981,7,13.8,55.4
1981,8,15.1,30
1981,9,13,132.3
1981,10,6.7,75.1
1981,11,7.3,76.5
1981,12,1.7,66.3
1982,1,3.9,85.6
1982,2,5.1,81.7
1982,3,5.5,108.3
1982,4,8.2,27.9
1982,5,10,71.1
1982,6,13.5,108.9
1982,7,15.3,24.3
1982,8,13.8,83.9
1982,9,11.9,80.2
1982,10,9.1,112.7
1982,11,6.1,138.7
1982,12,3.8,111.7
1983,1,5.8,146.9
1983,2,2.9,47.5
1983,3,6.7,98.4
1983,4,5.7,75.9
1983,5,9.5,113.8
1983,6,12.9,44.8
1983,7,17.1,14.8
1983,8,16.3,61.6
1983,9,12.5,116.3
1983,10,9.3,121.2
1983,11,7.4,41.3
1983,12,6.4,119.4
1984,1,3.1,125.6
1984,2,5.2,67
1984,3,4.8,73
1984,4,8.2,41.3
1984,5,9.3,16.7
1984,6,13.5,52
1984,7,15.6,42.6
1984,8,15.6,116.8
1984,9,12.3,107.7
1984,10,9.6,103.2
1984,11,5.8,119.1
1984,12,5,126.8
1985,1,1.2,56.1
1985,2,3.9,43.8
1985,3,4.8,70.2
1985,4,8.3,55.8
1985,5,9.8,110.8
1985,6,11.6,65.7
1985,7,14.2,105.1
1985,8,12.7,180
1985,9,13.7,107.1
1985,10,9.9,66.9
1985,11,3.4,55.9
1985,12,5.6,106.3
1986,1,3.6,106.8
1986,2,0.6,9.3
1986,3,5.2,99.5
1986,4,5.2,75.8
1986,5,9.6,115.5
1986,6,13.3,98.7
1986,7,14.1,71.6
1986,8,11.5,162.7
1986,9,10.9,3.6
1986,10,9.3,101.6
1986,11,6.2,112.2
1986,12,5.1,124.3
1987,1,2.8,33.6
1987,2,4,48.2
1987,3,4.7,93.5
1987,4,9.1,48.2
1987,5,9.8,28.8
1987,6,12,130.2
1987,7,15,41.6
1987,8,14.7,73.4
1987,9,11.6,107.4
1987,10,7.8,118.8
1987,11,6.3,72.8
1987,12,6.2,56.1
1988,1,4.5,138.7
1988,2,4.4,78.3
1988,3,6.4,125.4
1988,4,8.1,20.7
1988,5,10.2,88.8
1988,6,14,43.7
1988,7,13.3,132.2
1988,8,13.4,83.1
1988,9,11.8,79.6
1988,10,9.5,93.8
1988,11,5.4,37.5
1988,12,7.5,73.3
1989,1,6.4,63.7
1989,2,5.2,100.7
1989,3,6.1,104.8
1989,4,6,65.6
1989,5,11.4,20.7
1989,6,13,43.1
1989,7,17.2,24
1989,8,14.3,90.3
1989,9,12.1,53.6
1989,10,10.6,137.1
1989,11,6.3,35.3
1989,12,4.3,73.6
1990,1,5.8,113.5
1990,2,5.8,191.4
1990,3,7.8,30.7
1990,4,7.3,43.2
1990,5,11.9,43.9
1990,6,12.3,99.2
1990,7,15.3,59.1
1990,8,15.5,75.1
1990,9,11.7,15.2
1990,10,10.5,172.9
1990,11,6.2,61.3
1990,12,3.9,116.6
1991,1,3.1,84.8
1991,2,2.7,92.4
1991,3,7.2,91.4
1991,4,7.5,127.1
1991,5,11.1,4.5
1991,6,11.4,78.5
1991,7,15.5,42.1
1991,8,15.1,37.1
1991,9,13.1,50.9
1991,10,8.7,101.1
1991,11,5.9,101.3
1991,12,5.8,70.6
1992,1,4.6,75.9
1992,2,5.4,60.9
1992,3,7.1,90.8
1992,4,7.7,94
1992,5,11.6,58.7
1992,6,14.7,19.7
1992,7,14.6,96.4
1992,8,13,116.8
1992,9,10.8,82.7
1992,10,6.9,41
1992,11,6.5,114.7
1992,12,3.5,67.6
1993,1,5.6,111.2
1993,2,6.1,16.7
1993,3,6,47.2
1993,4,8.7,107.9
1993,5,9.8,97.4
1993,6,13.3,136.5
1993,7,13.7,77.3
1993,8,13,43
1993,9,11.2,86.4
1993,10,7,78.2
1993,11,5.1,50.1
1993,12,4.8,165
1994,1,4.5,106.6
1994,2,3.5,108.4
1994,3,6.5,109
1994,4,7.2,95.2
1994,5,9.4,40.7
1994,6,12.2,65.4
1994,7,14.8,87.3
1994,8,13.7,78.2
1994,9,11.3,55.1
1994,10,9.8,47.2
1994,11,9,79.8
1994,12,6.1,143.8
1995,1,4.2,147.3
1995,2,5.7,117.5
1995,3,5.2,65.9
1995,4,8.3,28.6
1995,5,10.5,44.9
1995,6,14,21.2
1995,7,16.4,76.8
1995,8,17.3,6.9
1995,9,12.3,66.2
1995,10,11.7,156.4
1995,11,7.3,109.8
1995,12,3.4,52.9
1996,1,5.6,80.8
1996,2,3.3,83.9
1996,3,5.1,70.1
1996,4,8.5,89.7
1996,5,8.4,62.1
1996,6,12.9,25.1
1996,7,14.8,48.4
1996,8,14.5,99.7
1996,9,13.3,33.8
1996,10,10.4,149.7
1996,11,5.5,82.4
1996,12,3.9,44.9
1997,1,4.2,24.4
1997,2,6.1,146.6
1997,3,7.7,34
1997,4,9.5,51.1
1997,5,10.9,106.1
1997,6,12.6,96.4
1997,7,15,67.5
1997,8,16.2,100.3
1997,9,13.4,49.6
1997,10,10.4,100.8
1997,11,8,72.7
1997,12,6,88.5
1998,1,5.3,106
1998,2,7.7,31.4
1998,3,8,85.2
1998,4,7,109.9
1998,5,11.5,29.2
1998,6,12.9,140.4
1998,7,14.2,93.5
1998,8,14.7,66
1998,9,13.5,98.5
1998,10,10.1,139
1998,11,6.8,92.4
1998,12,5.8,99.5
1999,1,5.1,119.5
1999,2,5.8,56.6
1999,3,7.1,64.5
1999,4,9.1,85.7
1999,5,11.8,55.8
1999,6,11.9,64.9
1999,7,16,43.5
1999,8,14.9,97.7
1999,9,13.6,155.1
1999,10,9.8,41.7
1999,11,7,103.9
1999,12,4.6,157.1
2000,1,4.9,57.9
2000,2,6,96
2000,3,7.4,33.9
2000,4,6.7,64.4
2000,5,10.9,47.8
2000,6,13.4,54.6
2000,7,15.1,49.8
2000,8,15.1,66.3
2000,9,13.1,112
2000,10,8.7,152.9
2000,11,5.7,147.8
2000,12,4.7,124.8
2001,1,3.2,38.1
2001,2,4.2,48.6
2001,3,4.9,70.9
2001,4,7.2,90
2001,5,11.8,40.6
2001,6,12.6,80.4
2001,7,14.7,43.5
2001,8,14.4,105
2001,9,13.1,54.5
2001,10,11.4,96.3
2001,11,7.6,59.9
2001,12,4.4,35.8
2002,1,6.3,126.4
2002,2,6.2,183.7
2002,3,7.1,58.3
2002,4,8.2,77.4
2002,5,10.8,117.6
2002,6,12.7,89.6
2002,7,14.3,81.3
2002,8,15.2,46
2002,9,13,18.9
2002,10,9,157.6
2002,11,8,148.2
2002,12,5.8,107.6
2003,1,4.7,57.5
2003,2,4.7,33.6
2003,3,7.2,43.7
2003,4,9.3,65.4
2003,5,10.6,126.9
2003,6,13.5,84
2003,7,15.7,61.7
2003,8,16,13.3
2003,9,12.8,48.6
2003,10,8.8,44.2
2003,11,7.4,79.6
2003,12,4.9,79.2
2004,1,4.9,108.3
2004,2,4.6,31.9
2004,3,6.3,62.8
2004,4,8.4,58.7
2004,5,11,51.6
2004,6,14.2,68.2
2004,7,14,51.1
2004,8,15.5,121.9
2004,9,13.6,86.8
2004,10,8.3,156.3
2004,11,7.7,69.1
2004,12,5.9,86.4
2005,1,6.3,127.3
2005,2,4.7,36.5
2005,3,7.8,63.5
2005,4,7.9,81.6
2005,5,10,87.6
2005,6,14.4,36.9
2005,7,15.5,67.3
2005,8,14.6,58
2005,9,13.2,59.6
2005,10,11.1,108.6
2005,11,5.9,71
2005,12,5.2,68.8
2006,1,5.2,38.5
2006,2,4.5,44.8
2006,3,5.2,119.2
2006,4,7.9,50.6
2006,5,10.5,133.7
2006,6,14.6,20.8
2006,7,16.9,48.3
2006,8,14.7,60.3
2006,9,14.4,133.9
2006,10,11.3,106.3
2006,11,6.8,88.4
2006,12,5.9,159.7
2007,1,6.2,125.9
2007,2,5,79.1
2007,3,6,71.6
2007,4,10.4,26
2007,5,10.4,69.3
2007,6,13.5,113.6
2007,7,14,156.4
2007,8,14.5,100.1
2007,9,12.6,42
2007,10,10.6,44.4
2007,11,8.1,53.2
2007,12,5.7,113.4
2008,1,5.6,138.5
2008,2,5.4,54.6
2008,3,5.5,91.6
2008,4,7.5,59.1
2008,5,12.5,23.4
2008,6,12.5,84.7
2008,7,14.6,110.1
2008,8,14.9,154.5
2008,9,12,104.8
2008,10,8.1,124
2008,11,6.7,78.2
2008,12,4.1,61.5
2009,1,3.5,104.6
2009,2,4.9,25.8
2009,3,6.5,40.7
2009,4,8.7,102.9
2009,5,10.8,75
2009,6,14.4,86.6
2009,7,14.7,196.3
2009,8,14.5,135.2
2009,9,12.5,38.1
2009,10,10.9,89.7
2009,11,6.5,213.6
2009,12,2.2,73.9
2010,1,1.5,45
2010,2,2.2,41.9
2010,3,4.8,82
2010,4,8.6,53.5
2010,5,10.5,41.3
2010,6,15,50.3
2010,7,15.2,149.9
2010,8,13.6,47.3
2010,9,13,164.5
2010,10,9.5,59.4
2010,11,4.7,125.2
2010,12,-1.1,37.2
2011,1,2.9,47.1
2011,2,6.3,119
2011,3,6,36.1
2011,4,10.5,35
2011,5,10.6,67.3
2011,6,11.6,65.1
2011,7,14.1,60.3
2011,8,13.1,65.1
2011,9,13.3,122.1
2011,10,11,133
2011,11,8.9,106.2
2011,12,5.1,87.8
2012,1,5.8,97.4
2012,2,6.6,42.4
2012,3,7.9,15.4
2012,4,6.7,75.4
2012,5,10.5,55.1
2012,6,13,175.1
2012,7,14,122.1
2012,8,15.4,128.9
2012,9,11.8,62
2012,10,8,90.9
2012,11,5.5,68.3
2012,12,4.7,91.2
2013,1,4.5,117.8
2013,2,4.1,54.8
2013,3,3.1,40.1
2013,4,6.6,78.1
2013,5,9.9,72.2
2013,6,13.3,62.6
2013,7,17.3,62.8
2013,8,15.1,52.8
2013,9,13.1,53.8
2013,10,11.3,179.3
2013,11,5.8,46.6
2013,12,6.1,142.5
2014,1,4.6,147.1
2014,2,5.1,154.9
2014,3,6.5,72.3
2014,4,9.4,55.4
2014,5,11.3,128.6
2014,6,14.1,63.4
2014,7,15.8,31.6
2014,8,13.4,153.8
2014,9,13.6,16.1
2014,10,10.2,125.2
2014,11,6.9,154.4
2014,12,4.8,100.7
2015,1,4.1,92.9
2015,2,4.1,53.7
2015,3,5.4,92.8
2015,4,7.7,64.2
2015,5,9.5,135.3
2015,6,12.7,37.1
2015,7,13.4,76.5
2015,8,13.4,97.1
2015,9,11.6,39.2
2015,10,9.8,57.6
2015,11,7.9,184.4
2015,12,7.4,274.3
2016,1,4.9,121.9
2016,2,4.1,111.8
2016,3,5.7,58.2
2016,4,6.6,91.2
2016,5,11.6,61.6
2016,6,14.4,130.3
2016,7,15.1,70.1
2016,8,14.9,98.6
2016,9,13.5,90.5
2016,10,10.1,33.9
2016,11,5.1,50.7
2016,12,5.7,69.5
2017,1,5.4,41.4
2017,2,5.5,75.2
2017,3,7.5,83.7
2017,4,8.2,14.1
2017,5,11.7,70.7
2017,6,13.9,98.1
2017,7,14.7,90.5
2017,8,13.8,77.4
2017,9,12,113.1
2017,10,10.7,104.4
2017,11,6,78.2
2017,12,4.9,106.1
2018,1,4.7,148.1
2018,2,3.1,52.4
2018,3,4.1,73.6
2018,4,8.2,58.9
2018,5,11.8,33.9
2018,6,15.6,27.1
2018,7,16.2,33.5
2018,8,14.7,60.2
2018,9,11.6,45.8
2018,10,9,41.7
2018,11,7.2,105.8
2018,12,7.3,100.6
2019,1,5.1,41.3
2019,2,7,48.8
2019,3,6.7,157.1
2019,4,8.7,58.6
2019,5,10.6,43.2
2019,6,12.5,79.6
2019,7,16.1,78.1
2019,8,15,151.9
2019,9,12.6,131.7
2019,10,8.9,90.8
2019,11,5.9,126.7
2019,12,5.4,82.8
2020,1,5.5,54.4
2020,2,5.2,197.5
2020,3,6.1,61
2020,4,9.5,41.9
2020,5,11.7,10.1
2020,6,13.6,96.6
2020,7,14.1,126.3
2020,8,14.9,114
2020,9,12.7,68.3
2020,10,9.4,131.8
2020,11,7.6,87.7
2020,12,4.5,89.3
2021,1,3.3,126.9
2021,2,5.6,80.3
2021,3,7.4,80.9
2021,4,7,25.5
2021,5,9.3,107.4
2021,6,13.8,17.4
2021,7,17.1,74.9
2021,8,14.9,142.1
2021,9,14.5,58.1
2021,10,11.4,97.7
2021,11,7.8,41.6
2021,12,6.3,128
2022,1,5.1,47.6
2022,2,6.2,131.8
2022,3,6.6,46.2
2022,4,8.1,48.7
2022,5,12,53.4
2022,6,13.5,100.6
2022,7,16.2,31.6
2022,8,15.5,35.2
2022,9,12.9,104.1
2022,10,11.3,208.8
2022,11,8.2,109.3
2022,12,3.4,84.5
